name,affiliation
Józef Lubacz, Politechnika Warszawska — <strong>Przewodniczący</strong>
Andrzej Czyżewski, Politechnika Gdańska
Andrzej Jajszczyk, Akademia Górniczo-Hutnicza w Krakowie
Grzegorz Różański, Wojskowa Akademia Techniczna
Maciej Walkowiak, Uniwersytet Technologiczno-Przyrodniczy w Bydgoszczy
Krzysztof Wesołowski, Politechnika Poznańska
Ryszard Zieliński, Politechnika Wrocławska
